headline	dominant_emotion
Brazilian Airman Caught With 86 Pounds Of Cocaine Ahead Of G20 Summit, Officials Say	0
Ford and VW to share costs on electric and self-driving cars	0
Jerks Landed a Helicopter on California's Wildflower Super Bloom	0
Trump warns China about harsher trade deal if reelected	0
Iran rolls back nuclear pledges but stops short of violating pact	0
Natural History Museum Won't Host Event Honoring Brazil President Jair Bolsonaro	0
We’re Having the Wrong Debate About a $15 Minimum Wage	0
For Women of Colour, Family Shame Can Make Abortions Traumatic	0
Landmark UN Report to Show We Are in a Human-Induced Extinction Crisis	0
Dominican resort claims US tourist went public with assault allegation after it refused her demand for $2.2 million	0
Marijuana bill dead: New Jersey lawmakers to move forward with referendum	0
The disturbing reason Republicans deny science and embrace measles epidemic	0
Trump Would ‘Do-Over’ Jeff Sessions Appointment: Hiring Him Was My ‘Biggest Mistake’	0
A brief history of women’s fight to wear pants	0
Virginia's NCAA-winning basketball team declines White House invitation	0
House Dems Sue Trump Admin Over Its Border Wall Plan	0
Chris Hayes Fails to Correct Dem Senator's Claims About Iran	0
South Korea Fires Hundreds Of Warning Shots At Russian Military Plane	0
Amy McGrath raises mammoth $2.5 million in first 24 hours of campaign against McConnell	0
The caliphate has crumbled, but ISIS still haunts Yazidi refugees in Canada	0
In ‘Dignity,’ We See The Faces Of Poverty And Our Forgotten Neighbors	0
Emily Post’s Great-Great-Granddaughter Explains the Proper Way to Get High	0
3500 Migrants Apprehended over 3 Days in One Texas Border Sector	0
Hamas rebuffs leader's call for worldwide attacks on Jews	0
Health Workers Still Aren't Alerting Police About Likely Elder Abuse, Reports Find	0
‘What a snob’: Alec Baldwin says Trump ‘fooled all these flyover Americans’ (cue backpedaling!)	0
Sanders calls Barr's handling of Mueller probe 'outrageous,' stops short of calling for resignation	0
Some Adoptees Are Undocumented Because Their Parents Forgot to Fill Out a Form. Now Congress Is Taking Action.	0
Trump Declares Victory, Mocks Mueller Testimony: ‘This Was A Devastating Day For The Democrats’	0
Trump Official Who Compared CO2 To Jews Led His Own ‘CO2 Anti-Defamation League’	0
Cruz Delivers Forceful Speech Denouncing Anti-Semitism	0
Conservative writer reveals how Trump just signed the Tea Party’s death certificate	0
What Happens When Your Girlfriend Finds Out You're into Trans Women	0
Video showing kids smoking pot circulates on social media, prompting woman's arrest	0
Iranian Jewish Leaders Slam Trump Peace Plan as Tool of ‘Zionists’	0
Hong Kong Protesters Storm Legislature On Anniversary Of City's Return To Chinese Rule	0
When John Paul Stevens Eviscerated Antonin Scalia	0
Toddler Diagnosed With Rare Ovarian Cancer Is Now Cancer-Free	0
On Venezuela, America Should Check Its Regime Change Impulses at the Door	0
A Reckoning Is in Store for Democrats	0
Marine shot, killed while on guard duty at California base	0
Rep. Ilhan Omar condemns Trump for endangering the lives of Muslims	0
A False Answer, a Big Political Connection and $260 Million in Tax Breaks	0
A Note About Trump’s Asylum Tweets	0
Cape Town - tourist hotspot where eight people are murdered a day	0
Schumer decries 'awful' conditions at migrant detention facility	0
Charles Barkley: “Every Black Person I Know Has Always Voted Democratic” & They’re “Still Poor”	0
Lawyer alleges Ecuador spread lies about WikiLeaks founder	0
Maria Butina Says She Was 'Building Peace.' That's Not How The Feds See It	0
Charts of the Day: The High Cost of Hospital Care	0
Horror As Pendulum Ride At India Amusement Park Snaps	0
Overworking kills more than 300 poll staff	0
Bernie Sanders Campaign Co-Chair Refuses to Condemn Human Rights Abuses in Venezuela	0
Man killed in Tacoma after throwing ‘incendiary devices’ at detention center	0
Former Acting Attorney General Sally Yates on Trump: ‘I have personally prosecuted obstruction cases on far less evidence than this’	0
Many countries suffer from shrinking working-age populations	0
California sues Trump over cancellation of high-speed rail funds	0
CA Pension Fund Faces Crisis After Shunning Guns, Tobacco	0
The Philippines' Anti-Drug Agency Wants to Ban a Rap Song it Thinks is About Weed	0
Kevin Spacey questioned by London police over UK sex assault claims	0
Student Filmmaker Assaulted By Antifa: Punched, Held Down While They Poured BEER On Him	0
N.C. crowd chants ‘Send her back’ as Trump criticizes Omar and House ‘squad’	0
Republican congressman suggests GOP spent 8 years saving their health care plan for 2019	0
Boris Johnson’s Luck Is About to Run Out	0
Pastor Jailed by Turkey Can’t Believe LGBT Persecution of Christians in USA	0
Trump—Who Once Said Jeffrey Epstein 'Likes Beautiful Women as Much as I Do'—Moves to Distance Himself From the Disgraced Palm Beach Billionaire	0
Boris Johnson, Brussels and the battle for Brexit	0
Jon Stewart Blasts Lawmakers In Hearing For Sept. 11 Victim Compensation Fund	0
Donald Trump Is Clearly Spooked by Joe Biden	0
San Juan mayor suggests Trump 'vindictive' toward Puerto Rico because his golf course there 'went bankrupt'	0
Taking a Selfie on this Thai Beach Could Score You the Death Penalty	0
China Demands Release Of Huawei Executive — After Banning All Canadian Meat Exports	0
Atheist group complains 'God bless America' is said at elementary school after daily pledge. District quickly falls in line.	0
Man charged with 64 felony counts after 1,000 guns seized at Bel-Air mansion	0
Anna Sorokin: judge sentences fake German heiress to up to 12 years in prison	0
White House: We’re not considering busing migrants to “sanctuary cities.” Trump: Yes, we are!	0
Jewish center sued over controversial chicken-killing ritual	0
Scottish fans and media blast team after horror show in Kazakhstan	0
Thousands of seabirds starved to death in the Bering Sea. Scientists see evidence of climate change.	0
Justin Amash faces intense blowback after Trump impeachment claims — then Trump hits back	0
Castro: Biden Shouldn't Joke About Allegations - 'Bullsh*t' to Say People Can Laugh It Off	0
Democrats defend Congresswomen Trump says should “go back” to their “corrupt” countries	0
Sean Hannity melts down over report that Russian state-run media uses his segments	0
Sorry Taylor Swift, Those Are the Cookies You Bake For Your Enemies	0
‘This is MAGA Country!’: Smollett-Style Graffiti Found at Jewish Cemetery	0
Truck slams into crowd on highway in Guatemala; 30 dead	0
Judge Suspended Without Pay For 6 Months After Making Anti-Trump Remarks in Court and on Facebook	0
David Beckham gets six-month driving ban for using phone at wheel	0
"Rep. Bradley Byrne Condemns ""Horrific"" Abortion Comments from Alabama Democrat"	0
Lies Are Fueling the Rise of Anti-Semitism	0
India’s Futile War on Open Defecation	0
Mexican Official: No Plans to Stop Migrant Caravans	0
Sundance Film Festival Co-Founder Gets Six Years to Life in Sex Abuse Case	0
Trump’s Justice Department lawyers may soon pay a high price for lying to the courts	0
Joshua Schulte, alleged CIA leaker, made 'catastrophic' impact with WikiLeaks disclosures: DOJ	0
Indian farmers shocked as suspected meteorite crashes into rice field	0
Immigration Is No Fix for an Aging Society	0
Watch MSC Opera Cruise Ship Crash Into Dock And Smaller Boat In Venice, Italy	0
8 grilling mistakes that will screw up your Memorial Day cookout	0
Trump administration announces new Iran sanctions, won’t explain what U.S. allies think	0
Immigrant children sent to Chicago shelters are traumatized and sick, sometimes with chicken pox or tuberculosis	0
Iran Surpasses Nuclear Fuel Stockpile Limit, State Media Reports	0
Last Night’s Debate Was a Throwback to a Darker Time	0
Restaurants are too freaking loud. This app helps you shame them.	0
2 IS-linked Philippine militants arrested far from south	0
One-quarter of Americans say men should work while women stay at home caring for family	0
Trump Spent Saturday Morning Furiously Tweeting About His Accomplishments	0
Ocasio-Cortez says some communities in the US have 'no choice' but to riot	0
New Zealand Police Inadvertently Charge Mosque Terror Suspect With Killing Woman Who's Still Alive	0
Iran: US Pressure on Iran, Venezuela Threatens Oil Market	0
North Korea Criticizes Bolton's 'Dim-Sighted' Remarks About Denuclearization	0
There’s No End to Jimmy Kimmel’s Torment of Matt Damon and He Just Upped the Ante	0
Household smoke may be the world’s deadliest environmental hazard	0
Every Brexit Deal Voted Down — Again	0
Three Hours, No Abortion: Planned Parenthood Freaks Out at CNN Debate	0
Boris Johnson says UK will leave EU on 31 October ‘do or die’	0
William Barr doubles down on campaign spying claims, slams Democrats	0
Document of the Week: When Sweden Wanted Nukes	0
Marijuana battles turn ugly in one California city: Fistfights, nasty accusations and questions	0
Trump calls Smollett case ‘embarrassment to our country’ at raucous rally	0
Former US attorney Preet Bharara slams Rudy Giuliani for downplaying impact of campaign taking info from Russia	0
Bronx Firefighter Killed In Afghanistan Suicide Attack	0
Recovered GoPro Footage Reveals the Last Minutes of Himalayan Climbers' Lives	0
Full Coverage: The Manson murders — 50 years later	0
Watch Live! Mueller Rorschach Test: Democrat Insanity On Display	0
UN says war has set back Yemen's development by 20 years	0
Activists debunk Republicans’ misinformation at House hearing on abortion bans	0
Trump’s Shadow War on Climate Science	0
DIY penis enlargements are a 'nationwide problem' in Papua New Guinea	0
‘She’s Republican-ing extra hard’! Ana Navarro intervenes to distract from ‘Pelosi vs. Squad’ melee	0
Military Duped Into Buying Fake, Chinese-Made Military Gear	0
Border Patrol Chief Carla Provost Was a Member of Secret Facebook Group	0
3 Reasons Not to Worry About Trump’s Fourth of July—and 1 Big Reason to Worry	0
Teens Assist Elderly Man Who Fell And Walk Him Home To Clean His Wounds	0
Assailants attacked an Ebola treatment center in Congo — again. It’s a major setback.	0
Texas woman lived with mother’s skeletal remains for 3 years	0
UPS stock price target cut to $145 from $155 at CFRA	0
Waters: The Public Will 'Push on' Congress to Impeach Trump and 'We're Going to Have to Do It'	0
Two Democrat losers to 2020 candidates: Talk to rural voters	0
“While I Live, I Remember”: Agnès Varda’s Way of Seeing	0
Sisi says Egypt won’t accept anything against Palestinian wishes	0
Trump’s Plan to Kill Obamacare Rattles Republicans	0
Biden Got Demolished, Doesn't Look So 'Electable' Anymore	0
Hundreds Of Thousands Of Hong Kong Protesters Demand Leader's Resignation	0
A Dutch Doctor Has Been Mailing Abortion Pills to Women in the US. Now the FDA Is Going After Her.	0
New proposed immigration policy could deport thousands without due process	0
Veterans Affairs site suicides prompt new concern	0
Four years ago today Trump launched his campaign. Media still hasn't figured out how to cover him	0
ICE Begins Nationwide Raids on Undocumented Immigrants	0
Iran Foreign Minister: Iran Considering Talks With US On Ballistic Missiles	0
This is deranged even by Donald Trump standards	0
New York Times Report on Trump’s Taxes May Prompt Fraud Investigation	0
Netanyahu Set for Victory as Israelis Vote for Never-Ending Military Rule of Palestinians	0
Darwin’s Finches Are In Danger Because a Parasite Is Changing Their Mating Song	0
Pakistan Fans Blame Burgers for Country’s Loss in World Cup Match Against India	0
We Hear You: Visiting the Border Patrol in Laredo, Texas	0
70% Of The Materials Used To Make IKEA Products In 2018 Were Either Renewable Or Recycled	0
Dr. Who Writer Claims He Was Cancelled For Tweeting ‘Trannie’	0
On Eve of Russia Trip, Pompeo Squelches Criticism of Moscow	0
Disneyland's new Flex Pass comes with a catch	0
California Tried to Fix Its Prisons. Now County Jails Are More Deadly.	0
Media Slime Novelist Nicholas Sparks As Racist Homophobe	0
Easter Sunday bombings blast the peace in Sri Lanka, killing more than 200 at churches and hotels	0
The Billionaire and the Mayor Disrupting Taiwan’s Elections	0
Peñafiel bottled water pulled from shelves over high levels of arsenic	0
War With Iran Wouldn’t Be Like Iraq. It Would Be Worse.	0
Emerging market stock funds suffer $3.8bn withdrawals	0
CNN’s Brian Stelter tweets cryptic ‘storm approaching’ gif on eve of Mueller report (and LMAO at the replies)	0
Search warrants show how New Zealand far-right terrorist inspired copycat in California	0
POLL: Majority Of Americans Oppose Reparations Despite Democratic Focus On The Issue	0
Lord Winston, 78, demands licence plates for bikes after woman cyclist kicked him 'repeatedly'	0
DHS Sec. Kirstjen Nielsen LIGHTS UP Congress for inaction on immigration, warns of ‘catastrophe’ on the southern border	0
Equal pay for women’s soccer will require equal revenue	0
Maty Ezraty, L.A. yoga instructor whose teachings spanned the globe, dies	0
Biden's son scoffs at Trump's calls for probe into Ukraine business ties; 'F*** you, Mr. President'	0
Trump Finds His Red Line on Iran	0
NYC Police Union Tweets Video of Subway Blow Job To Criticize New Congestion Pricing Policy	0
The Mueller Report Is Part Spy Thriller, Part Game of Thrones—With Footnotes	0
Here’s what Donald Trump can teach Democrats about winning crossover votes	0
Democrat Rep. Al Green Moves To Impeach Trump for his Attacks on 'The Squad'	0
Nancy Pelosi’s ‘Equality Act’ Would Be Disastrous. Here Are 5 Likely Victim Groups.	0
CNN Hit For Pro-Erdogan Bias in Turkey	0
The Very American Case of Robert Kraft and a Florida Prostitution Sting	0
It’s Past Time for the United States to Get Out of Puerto Rico’s Way	0
‘The Biggest Piece Mueller Left Out’	0
Notre Dame Fire Could've Been Caused By A Cigarette, Prosecutors Say	0
Migrant Apprehensions at Border Hit 144K in May, Says CBP	0
North Korea presents nuclear disarmament’s biggest challenge yet	0
New Research Shows the European Union's Anti-GMO Rules Are Ridiculously Bad	0
Rev. Barber is on trial over a health care protest he led 2 years ago	0
More than 30 feared dead in suspected arson at Kyoto animation studio	0
'Ma’amageddon': secret plans for Queen's nuclear address revealed	0
US declining interest in history presents risk to democracy	0
After years of decrying McCarthyism, Lindsey Graham accuses members of Congress of being Communists	0
England new boy Declan Rice in hot water over old social media post	0
White supremacy must be undone — institution by institution	0
Videos showed chaos, gunfire at Baton Rouge nightclub where 7 were injured in shooting	0
Chinese woman arrested at Trump’s Mar-a-Lago resort to remain in custody	0
NASA says India’s anti-satellite strike endangered the International Space Station	0
A Third Court Rules That Trump's Census Citizenship Question Is Illegal	0
Boris Johnson faces questions over ‘arguably racist’ comments	0
In Elvia Wilk’s “Oval,” Earth, Capitalism, and the Human Species Sink Toward Doom	0
England’s victory over Scotland overshadowed by Layla Guscoth injury	0
Donald Trump’s orbit is spinning completely out of control today	0
Atheist prayers can be barred by House chaplain, appeals court says	0
Homelessness rises in Argentina's capital amid crisis	0
Stupid conservatives keep feeding Trump's grift with campaign contributions	0
I Will Not Stay Silent. Our Leaders Are Failing Human Rights.	0
MSNBC producers contradict Rachel Maddow's Mueller report conspiracy theory as she's saying it	0
The Planet Is Not on “Fucking Fire”	0
Gas car sales ‘have already peaked and may never recover’ as battery prices plunge	0
American Psycho Author Should Stick to Fiction	0
FLASHBACK: Biden Likes to Swim Naked, Which Female Secret Service Agents Found ‘Offensive,’ Book Claimed	0
Booker: Biden Not Up to Dealing With Trump Who 'Uses Racism as Political Currency'	0
Sex Magic: Teen Vogue’s Latest Effort to Derail Young Girls	0
UN envoy arrives in Syria amid violent clashes in the north	0
French Official: Notre Dame Fire Weakening, Cathedral’s Towers ‘Safe’	0
NAACP delegates vote unanimously to call for Congress to impeach President Trump	0
A migrant girl died in U.S. custody, and Trump officials didn't publicly disclose it for 8 months	0
Saudi Arabia Is Trying To Execute And Possibly Crucify Teen Who Participated In Protest When He Was 10 Years Old: Report	0
Teflon Toxin Safety Level Should Be 700 Times Lower Than Current EPA Guideline	0
Woman in Viral Video Who Licked Carton of Ice Cream and Put It Back Could Go to Jail	0
Stunning! Former CIA Chief John Brennan Now Says His Months of Attacks on Trump “May Be Based on Bad Information”	0
The Surprising New Effect Of Trump’s Immigration Crackdown	0
Trump punts health care until after 2020	0
Trump Asserts Executive Privilege to Block Release of Full Mueller Report	0
Mexican Cartels Fight for Control of Border State Prison	0
Nikki Haley, Ben Shapiro Discuss If U.S. Should Stay In U.N.	0
A Brutal New Verdict on Trump’s Tax Cuts	0
Donald Trump reveals delusional new strategy for 2020	0
Death Toll From New Zealand Mosque Shooting Rises To 51	0
Chris Hayes: Unlike Hillary, Trump 'Committed a Whole Bunch of Crimes'	0
French Satirist Bemoans 'Stupid' New York Times Cartoon Ban	0
Pelosi and Schumer Hate BDS More Than Ultranationalism	0
'Stinks, Complete Idiot, Pathetic': Morning Joe Hurls Insults at Trump	0
High Levels of Toxic PFAS Chemicals Pollute Breast Milk Around the World	0
The Hawaiian Language Nearly Died. A Radio Show Sparked Its Revival	0
More Big Companies Paying Zero Taxes: Report	0
Horror as climber in his 50s plunges to his death while scaling the highest mountain in Ireland	0
Former Students Recall Jeffrey Epstein Paid Particular Attention to Teenage Girls	0
The refugee families caught up in a war zone in Libya	0
Rep. Ocasio-Cortez demands answers about the 'magically added' racist census question	0
11 killed, 6 injured in Virginia Beach shooting	0
Feds Charge Greg Craig, Former Obama Lawyer Tied to Manafort Ukraine Report	0
France: President Macron Confirms Lyon Explosion is 'Attack', Eight Injured	0
Thousands mourn Bosnian government critic slain in ambush	0
Tom Hanks on parting with 'Toy Story' character Woody: 'It was terrible'	0
Government Moves 300 Migrant Kids Over Poor Border Station Conditions	0
French trial accusing Orange of moral harassment wraps	0
Sanders: I Spent My Whole Life Fighting Against Authoritarianism Like the Soviet Union	0
Drug dealer fleeing police on motorbike hit and killed grandmother	0
San Francisco Police Got a Warrant to Monitor a Journalist's Phone Before Raiding His Apartment	0
LIKE IT NEVER HAPPENED: Jussie Smollett Case ‘Wiped’ From Cook County Clerk’s Database	0
The Supreme Court Must Rule That Juries Can’t Sentence a Man to Death Because He’s Gay	0
WTI oil futures mark lowest settlement since Jan. 14	0
Syrian State Media: Projectiles Fired From Israeli Territory	0
Theresa May Meets Her Lonely End	0
The 8 best no-fee credit cards to open in 2019	0
Kellyanne Conway Calls Out MSNBC for Falsely Accusing Trump of Collusion	0
Tories at odds over how long to let May stay	0
British Airways suspends flights to Cairo for seven days: statement	0
Two arrests have been made in death of Northern Ireland journalist Lyra McKee	0
Candidates of a certain age, &c.	0
Theresa May offers academic Roger Scruton his old job back after false allegations	0
House Democrat admits 'sole focus' is unseating President Trump, not legislative accomplishments	0
Press Pollutes History in Child Migrant Coverage at 'Internment Camp'	0
Poll: Dem Support For John Bel Edwards Plummets After He Signs Abortion Bill	0
Ukraine Seizes Russian Tanker, Frees Crew After Moscow Threat	0
Abortion Advocates Are Losing. Don’t Give Them A Lifeline	0
Grisly details emerge in Utah couple’s execution-style murders	0
Investors face $647bn China banking blind spot	0
Airbnb’s Anti-West Bank Policy Shows Why Laws Against BDS Matter	0
Georgia's Republican governor suffering consequences of his reckless abortion action	0
Document of the Week: U.N. Calls Out Syrian Propaganda Over Hospital Attacks	0
Victor d’Hondt, the dead Belgian who could influence the European elections	0
Trump slams Biden as non-salvageable ‘reclamation project’	0
Pompeo reaches the dead end of Trump’s Venezuela policy	0
Ohio governor calls to eliminate statute of limitations for sex crimes after OSU doctor abuse report	0
US woman kidnapped on Ugandan safari: kidnappers demand $500,000	0
Brutal truth behind honour killing of 17-year-old Shafilea Ahmed is told in chilling documentary	0
The shameful truth: America only put a man on the moon with the help of Nazi monsters	0
Twitter User Blasted For Saying Miss Scotland Beauty Contest Not “Diverse” Enough	0
The self-styled Libyan National Army has launched airstrikes on Tripoli	0
Trump’s bid to wipe out AIDS will take more than a pill	0
Star Trek actress Marina Sirtis reveals she was molested by her babysitter's teenage sons	0
Pelosi, Hoyer Say Impeachment Is Off The Table, Leaving Democrats Crushed	0
The Horrors of ICE’s ‘Trans Pod’	0
Washington Splurges Today, Promises to Repent Tomorrow	0
Trump Approved Cyberattacks Against Iran After He Backed Off A Military Assault	0
Hong Kong Leader Carrie Lam Says Extradition Bill Is ‘Dead’ But Still Won't Withdraw It	0
The Missouri River Flood Hits a Historic Native American Homeland	0
Fears Rise of an ISIS Comeback	0
Pence Dodges Questions About Poor Conditions At Child Migrant Centers	0
Juan Williams Just Plain Wrong on Senate Rules Change on Nominations	0
Trump brands London mayor a 'disaster'	0
Cuba’s entrepreneurs are under attack by Donald Trump	0
Samantha Bee Brutally Mocks Joe Biden’s Apology	0
Anxious and Suspicious, Citizens in Wealthy Countries Want Stronger Safety Nets	0
Donald Trump's War on Worker Rights	0
Before the double-dealing allegations, there were red flags over $30-million DWP contract	0
Trump: White House Lawyer Emmet Flood 'Will Be Leaving Service On June 14th'	0
'I Think You Should Leave' Is Like Weird Twitter as a TV Show	0
2019 is shaping up to be a very bad year for measles	0
AOC: Powerful people are trying to bribe Trump to go to war with Iran	0
Ryanair announces plan to cut hundreds of jobs	0
Trump: Russia says it has removed 'most of their people' from Venezuela	0
Facebook’s False Standards for Not Removing a Fake Nancy Pelosi	0
Pete Buttigieg Trivializes the Impact of Trade on US Job Losses	0
Two arrested in North 35th Street fatal shooting that resulted from family feud, Baton Rouge police say	0
‘Clean-up in aisle 5!’ Kimberley Strassel spots something ‘convenient’ about post-Mueller media scoops	0
It Is Unclear Whether the New IRS Reform Bill Is a Disastrous Giveaway to TurboTax	0
Mitt Romney is “sickened” by the Trump administration’s “dishonesty” after reading Mueller report	0
The World Doesn’t Care About Groupthink	0
Senate Republicans smear Mark Kelly and Doug Jones with false billboards	0
The Latest: Reports: Rocket attack hits Baghdad's Green Zone	0
Biden ‘expected’ rivals to challenge him, but was ‘surprised’ at Obama attacks	0
Owners of Noah’s Ark Replica Sue Insurers Over Rain Damage	0
Katarina Johnson-Thompson smashes her personal best to win heptathlon	0
10-year yield at 2.473%; 2-year yield at 2.319%; 30-year yield at 2.899%	0
FBI Lawyer Squeals Like a Pig: Implicates Comey, McCabe, and Yates for Mishandling of FISA Warrant	0
Puerto Rico doesn’t want political unrest to deter tourists from its beaches	0
Trump’s hasty plan to get Americans back on the moon by 2024, explained	0
Trump Trolls Washington Foreign Policy Establishment	0
Sri Lanka Easter Sunday attacks: what we know	0
The boundaries between politics and stand-up comedy are crumbling	0
The Trump Campaign Pitches Its Crypto-Majority Argument to Women	0
Satire: Governor Northam Hacks Infowars’ Broadcast	0
Everyone Is Screaming for Meryl Streep’s Big Little Lies Scream	0
Maxine Waters accuses Trump admin of neglecting threats, says Democrats must protect themselves instead	0
Philosopher Srecko Horvat on the Yugoslav Fight Against Fascism and the Rising Right-Wing Political Forces in Europe	0
Mom suffers severe foot burns after stepping on sand under 'cold' disposable barbecue	0
Northern Ireland Police Arrest 2 Men In Shooting Death Of Journalist	0
Former executives of a French telecom have been brought to trial over employee suicides	0
Sanders: Biden 'Owes the Country an Apology' on 'Civility' Remarks	0
As US communities resist ICE, private prison companies are cashing in	0
